discapacidad,discapacidad_total,ENT,NOM_ENT,total_all,total,porcentaje,porcentaje_nacional
Discapacidad,6609141,1,Aguascalientes,1421198,81055,5.7,1.2
Discapacidad,6609141,13,Hidalgo,3075237,174702,5.7,2.6
Discapacidad,6609141,18,Nayarit,1226179,70584,5.8,1.1
Discapacidad,6609141,2,Baja California,3739797,186496,5,2.8
Discapacidad,6609141,14,Jalisco,8303835,417569,5,6.3
Discapacidad,6609141,10,Durango,1821279,102836,5.6,1.6
Discapacidad,6609141,15,México,16943627,798450,4.7,12.1
Discapacidad,6609141,24,San Luis Potosí,2815438,153817,5.5,2.3
Discapacidad,6609141,11,Guanajuato,6144449,314067,5.1,4.8
Discapacidad,6609141,7,Chiapas,5524506,232724,4.2,3.5
Discapacidad,6609141,12,Guerrero,3525695,225704,6.4,3.4
Discapacidad,6609141,26,Sonora,2924652,158222,5.4,2.4
Discapacidad,6609141,20,Oaxaca,4113433,282417,6.9,4.3
Discapacidad,6609141,17,Morelos,1961694,116224,5.9,1.8
Discapacidad,6609141,21,Puebla,6567595,322752,4.9,4.9
Discapacidad,6609141,19,Nuevo León,5768781,238667,4.1,3.6
Discapacidad,6609141,29,Tlaxcala,1340912,58606,4.4,0.9
Discapacidad,6609141,22,Querétaro,2362209,101207,4.3,1.5
Discapacidad,6609141,5,Coahuila de Zaragoza,3137032,139648,4.5,2.1
Discapacidad,6609141,16,Michoacán de Ocampo,4728162,272136,5.8,4.1
Discapacidad,6609141,3,Baja California Sur,793424,36328,4.6,0.5
Discapacidad,6609141,23,Quintana Roo,1852929,68865,3.7,1
Discapacidad,6609141,9,Ciudad de México,9159393,539571,5.9,8.2
Discapacidad,6609141,4,Campeche,926858,57270,6.2,0.9
Discapacidad,6609141,27,Tabasco,2397125,154859,6.5,2.3
Discapacidad,6609141,25,Sinaloa,2986880,168306,5.6,2.5
Discapacidad,6609141,28,Tamaulipas,3518497,183349,5.2,2.8
Discapacidad,6609141,31,Yucatán,2317135,143507,6.2,2.2
Discapacidad,6609141,8,Chihuahua,3725058,180870,4.9,2.7
Discapacidad,6609141,32,Zacatecas,1617384,97362,6,1.5
Discapacidad,6609141,6,Colima,728300,40744,5.6,0.6
Discapacidad,6609141,30,Veracruz de Ignacio de la Llave,8046861,490227,6.1,7.4
Limitación,13243152,10,Durango,1821279,205740,11.3,1.6
Limitación,13243152,22,Querétaro,2362209,218858,9.3,1.7
Limitación,13243152,2,Baja California,3739797,368293,9.8,2.8
Limitación,13243152,27,Tabasco,2397125,238780,10,1.8
Limitación,13243152,11,Guanajuato,6144449,604076,9.8,4.6
Limitación,13243152,26,Sonora,2924652,282048,9.6,2.1
Limitación,13243152,21,Puebla,6567595,680528,10.4,5.1
Limitación,13243152,24,San Luis Potosí,2815438,283463,10.1,2.1
Limitación,13243152,20,Oaxaca,4113433,519120,12.6,3.9
Limitación,13243152,15,México,16943627,1819619,10.7,13.7
Limitación,13243152,13,Hidalgo,3075237,381075,12.4,2.9
Limitación,13243152,29,Tlaxcala,1340912,135091,10.1,1
Limitación,13243152,30,Veracruz de Ignacio de la Llave,8046861,989721,12.3,7.5
Limitación,13243152,1,Aguascalientes,1421198,156138,11,1.2
Limitación,13243152,5,Coahuila de Zaragoza,3137032,268798,8.6,2
Limitación,13243152,19,Nuevo León,5768781,520806,9,3.9
Limitación,13243152,4,Campeche,926858,103167,11.1,0.8
Limitación,13243152,28,Tamaulipas,3518497,356702,10.1,2.7
Limitación,13243152,31,Yucatán,2317135,251426,10.9,1.9
Limitación,13243152,17,Morelos,1961694,256341,13.1,1.9
Limitación,13243152,16,Michoacán de Ocampo,4728162,509477,10.8,3.8
Limitación,13243152,18,Nayarit,1226179,138260,11.3,1
Limitación,13243152,12,Guerrero,3525695,424724,12,3.2
Limitación,13243152,9,Ciudad de México,9159393,1165993,12.7,8.8
Limitación,13243152,8,Chihuahua,3725058,357884,9.6,2.7
Limitación,13243152,14,Jalisco,8303835,782030,9.4,5.9
Limitación,13243152,23,Quintana Roo,1852929,166315,9,1.3
Limitación,13243152,6,Colima,728300,76014,10.4,0.6
Limitación,13243152,32,Zacatecas,1617384,187085,11.6,1.4
Limitación,13243152,7,Chiapas,5524506,406867,7.4,3.1
Limitación,13243152,25,Sinaloa,2986880,298277,10,2.3
Limitación,13243152,3,Baja California Sur,793424,90436,11.4,0.7
Sin L y D,105522934,12,Guerrero,3525695,2873343,81.5,2.7
Sin L y D,105522934,10,Durango,1821279,1511944,83,1.4
Sin L y D,105522934,29,Tlaxcala,1340912,1127812,84.1,1.1
Sin L y D,105522934,15,México,16943627,14312028,84.5,13.6
Sin L y D,105522934,14,Jalisco,8303835,7097685,85.5,6.7
Sin L y D,105522934,16,Michoacán de Ocampo,4728162,3943398,83.4,3.7
Sin L y D,105522934,19,Nuevo León,5768781,4996456,86.6,4.7
Sin L y D,105522934,23,Quintana Roo,1852929,1614801,87.1,1.5
Sin L y D,105522934,27,Tabasco,2397125,2003206,83.6,1.9
Sin L y D,105522934,26,Sonora,2924652,2481371,84.8,2.4
Sin L y D,105522934,28,Tamaulipas,3518497,2976860,84.6,2.8
Sin L y D,105522934,17,Morelos,1961694,1586484,80.9,1.5
Sin L y D,105522934,20,Oaxaca,4113433,3310495,80.5,3.1
Sin L y D,105522934,32,Zacatecas,1617384,1332294,82.4,1.3
Sin L y D,105522934,13,Hidalgo,3075237,2518173,81.9,2.4
Sin L y D,105522934,21,Puebla,6567595,5561660,84.7,5.3
Sin L y D,105522934,4,Campeche,926858,750941,81,0.7
Sin L y D,105522934,18,Nayarit,1226179,1016772,82.9,1
Sin L y D,105522934,30,Veracruz de Ignacio de la Llave,8046861,6563532,81.6,6.2
Sin L y D,105522934,22,Querétaro,2362209,2040735,86.4,1.9
Sin L y D,105522934,11,Guanajuato,6144449,5220477,85,4.9
Sin L y D,105522934,6,Colima,728300,611361,83.9,0.6
Sin L y D,105522934,2,Baja California,3739797,3179615,85,3
Sin L y D,105522934,31,Yucatán,2317135,1919427,82.8,1.8
Sin L y D,105522934,24,San Luis Potosí,2815438,2376171,84.4,2.3
Sin L y D,105522934,7,Chiapas,5524506,4872578,88.2,4.6
Sin L y D,105522934,8,Chihuahua,3725058,3183459,85.5,3
